Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2019 [YR2019]
Ecuador,ECU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.754485726599,24.0486345985713
"Egypt, Arab Rep.",EGY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.1838454928598,16.6440314510365
El Salvador,SLV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.4861730232304,29.9559096080003
Equatorial Guinea,GNQ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,56.6584738218082,51.1307495482003
Eritrea,ERI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Estonia,EST,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,76.0344602333505,72.0191543549198
Eswatini,SWZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,44.8587759692711,44.7614845159035
Ethiopia,ETH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.36331359735926,7.93996502459584
Faroe Islands,FRO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,53.2164924640527,55.7697162765718
Fiji,FJI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Finland,FIN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.7815711349623,40.6183181143561
France,FRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.6934947262689,32.8895593910847
French Polynesia,PYF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.613765074754,20.5923590296429
Gabon,GAB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,46.0320085043705,51.4310732271996
"Gambia, The",GMB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.5708485829147,20.1658912380486
Georgia,GEO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.1372493342596,54.3043084100873
Germany,DEU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.5853976151835,42.3402444816356
Ghana,GHA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.8317048233696,37.4495998625311
Gibraltar,GIB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Greece,GRC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,32.1863593046186,39.5602885530263
Greenland,GRL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.5798451272169,41.0427004962382
Grenada,GRD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Guam,GUM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.0720813933437,22.2501966955153
Guatemala,GTM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.8299071093932,17.6119727745274
Guinea,GIN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.4968719824351,35.0420493356329
Guinea-Bissau,GNB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.0467119622253,18.2808894375093
Guyana,GUY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Haiti,HTI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,11.767746984448,10.5576734334849
Honduras,HND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.1667574562581,40.2189637388964
